ETF,Short_MA,Long_MA,Total Return,Trade Count
DIA,25,70,0.7040678302932,40.0
SPY,25,70,0.8255818320617838,40.0
QQQ,25,70,2.1712837792526924,40.0
DIA,25,75,0.956777401023005,39.0
SPY,25,75,0.9760323903454513,36.0
QQQ,25,75,2.295575205425063,38.0
DIA,25,80,0.8764474648432559,36.0
SPY,25,80,0.9340114459028208,36.0
QQQ,25,80,1.3852264475353193,35.0
DIA,25,85,0.7674764359962889,35.0
SPY,25,85,0.6474888818244986,36.0
QQQ,25,85,1.9365981312321199,32.0
DIA,25,90,0.8908327047642919,36.0
SPY,25,90,0.7790939588998567,32.0
QQQ,25,90,1.4874087110665628,31.0
DIA,25,95,0.7776811057460944,35.0
SPY,25,95,0.4523430683008076,32.0
QQQ,25,95,1.8527456352375937,27.0
DIA,25,100,0.6157431486998326,37.0
SPY,25,100,0.3463566829293032,31.0
QQQ,25,100,2.4120831243356227,26.0
DIA,25,105,0.7355659784178226,34.0
SPY,25,105,0.38301613945887025,31.0
QQQ,25,105,2.258727436501449,24.0
DIA,25,110,0.5893565014791255,30.0
SPY,25,110,0.6868214905043692,29.0
QQQ,25,110,1.8833038751936257,23.0
DIA,25,115,0.6043911327893532,30.0
SPY,25,115,0.8080799126450926,27.0
QQQ,25,115,1.4319334378415425,24.0
DIA,25,120,0.7268003220912971,31.0
SPY,25,120,0.8798672005150452,26.0
QQQ,25,120,1.4843667466597936,26.0
DIA,25,125,0.6956990761319841,29.0
SPY,25,125,0.8599808252683294,25.0
QQQ,25,125,1.349094821011204,24.0
DIA,25,130,0.6314525537990876,28.0
SPY,25,130,1.0462899178321323,26.0
QQQ,25,130,1.4173362283417048,23.0
DIA,25,135,0.5546577307270983,29.0
SPY,25,135,0.9371566813873069,26.0
QQQ,25,135,1.4161681600410394,24.0
DIA,25,140,0.4516809035010172,32.0
SPY,25,140,1.0383976415626628,24.0
QQQ,25,140,1.6568227494662922,24.0
DIA,25,145,0.6404954501267213,28.0
SPY,25,145,1.193923527794948,22.0
QQQ,25,145,1.645091613536367,22.0
DIA,25,150,0.8849693351771508,27.0
SPY,25,150,1.3574868347898552,21.0
QQQ,25,150,1.7739172514925103,20.0
